,label
813,7
814,1
815,7
816,7
817,1
818,1
819,1
820,7
821,7
822,1
823,1
824,1
825,7
826,1
827,1
828,7
829,1
830,7
831,1
832,1
833,7
834,1
835,7
836,1
837,1
838,7
839,1
840,1
841,1
842,1
843,1
844,7
845,1
846,7
847,1
848,7
849,1
850,7
851,1
852,1
853,1
854,7
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,7
863,1
864,1
865,1
866,1
867,1
868,1
869,7
870,1
871,1
872,1
873,1
874,1
875,7
876,1
877,1
878,7
879,1
880,1
881,7
882,1
883,7
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,7
898,7
899,1
900,7
901,1
902,1
903,1
904,1
905,7
906,1
907,1
908,1
909,7
910,7
911,1
912,1
913,1
914,7
915,1
916,1
917,1
918,1
919,1
920,7
921,7
922,1
923,7
924,1
925,1
926,1
927,1
928,1
929,1
930,1
931,7
932,1
933,7
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,7
944,1
945,1
946,1
947,7
948,7
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,7
959,1
960,1
961,1
962,1
963,7
964,1
965,1
966,1
967,7
968,1
969,7
970,7
971,1
972,7
973,7
974,1
975,7
976,1
977,1
978,1
979,1
980,7
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,7
993,1
994,7
995,1
996,1
997,1
998,1
999,7
1000,1
1001,1
1002,7
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,7
1020,1
1021,7
1022,7
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,1
1031,1
1032,1
1033,1
1034,7
1035,7
1036,1
1037,1
1038,1
1039,7
1040,1
1041,7
1042,7
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,1
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,7
1064,7
1065,1
1066,1
1067,1
1068,7
1069,1
1070,1
1071,7
1072,1
1073,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,7
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,7
1089,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,7
1098,1
1099,1
1100,1
1101,7
1102,1
1103,1
1104,7
1105,1
1106,1
1107,7
1108,1
1109,1
1110,1
1111,7
1112,1
1113,1
1114,7
1115,1
1116,1
1117,1
1118,1
1119,1
1120,7
1121,1
1122,1
1123,1
1124,1
1125,1
1126,7
1127,1
1128,1
1129,1
1130,1
1131,7
1132,1
1133,1
1134,7
1135,7
1136,7
1137,7
1138,1
1139,7
1140,7
1141,1
1142,1
1143,1
1144,1
1145,1
1146,7
1147,7
1148,7
1149,1
1150,1
1151,1
1152,1
1153,1
1154,1
1155,7
1156,1
1157,1
1158,1
1159,1
1160,1
1161,1
1162,7
1163,7
1164,7
1165,7
1166,7
1167,7
1168,1
1169,1
1170,1
1171,7
1172,1
1173,1
1174,7
1175,7
1176,7
1177,1
1178,1
1179,1
1180,1
1181,7
1182,1
1183,1
1184,1
1185,7
1186,7
1187,7
1188,1
1189,1
1190,1
1191,1
1192,1
1193,7
1194,1
1195,1
1196,7
1197,1
1198,1
1199,2
1200,1
1201,1
1202,1
1203,1
1204,1
1205,7
1206,1
1207,7
1208,1
1209,1
1210,1
1211,1
1212,7
1213,1
1214,1
1215,1
1216,7
1217,7
1218,1
1219,1
1220,1
1221,7
1222,1
1223,1
1224,7
1225,1
1226,1
1227,1
1228,7
1229,1
1230,1
1231,7
1232,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,7
1241,1
1242,1
1243,1
1244,7
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,7
1255,7
1256,1
1257,1
1258,1
1259,1
1260,1
1261,7
1262,1
1263,7
1264,1
1265,1
1266,7
1267,7
1268,7
1269,1
1270,1
1271,7
1272,1
1273,1
1274,1
1275,1
1276,7
1277,7
1278,7
1279,7
1280,1
1281,1
1282,1
1283,1
1284,1
1285,1
1286,1
1287,1
1288,7
1289,1
1290,7
1291,1
1292,1
1293,1
1294,7
1295,1
1296,1
1297,1
1298,7
1299,1
1300,1
1301,1
1302,1
1303,1
1304,7
1305,7
1306,7
1307,1
1308,1
1309,1
1310,1
1311,1
1312,1
1313,1
1314,1
1315,1
1316,1
1317,1
1318,1
1319,7
1320,7
1321,7
1322,1
1323,7
1324,1
1325,1
1326,7
1327,1
1328,7
1329,7
1330,1
1331,1
1332,7
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,1
1344,7
1345,1
1346,1
1347,7
1348,7
1349,1
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,7
1360,1
1361,7
1362,1
1363,7
1364,7
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,7
1373,1
1374,1
1375,1
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,1
1384,1
1385,1
1386,1
1387,1
1388,1
1389,1
1390,7
1391,1
1392,1
1393,1
1394,1
1395,7
1396,1
1397,1
1398,1
1399,1
1400,1
1401,7
1402,7
1403,1
1404,1
1405,1
1406,1
1407,1
1408,7
1409,7
1410,1
1411,1
1412,7
1413,1
1414,1
1415,1
1416,1
1417,7
1418,7
1419,1
1420,7
1421,7
1422,7
1423,1
1424,1
1425,1
1426,1
1427,1
1428,1
1429,1
1430,1
1431,1
1432,1
1433,1
1434,7
1435,1
1436,1
1437,1
1438,1
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,7
1447,1
1448,1
1449,1
1450,1
1451,1
1452,1
1453,1
1454,1
1455,7
1456,7
1457,7
1458,1
1459,1
1460,7
1461,1
1462,1
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,7
1470,7
1471,7
1472,1
1473,1
1474,7
1475,7
1476,1
1477,7
1478,1
1479,7
1480,7
1481,7
1482,1
1483,1
1484,1
1485,1
1486,7
1487,1
1488,7
1489,1
1490,1
1491,7
1492,7
1493,1
1494,1
1495,1
1496,1
1497,1
1498,7
1499,1
1500,1
1501,7
1502,1
1503,1
1504,1
1505,1
1506,7
1507,7
1508,1
1509,7
1510,1
1511,1
1512,1
1513,1
1514,7
1515,1
1516,1
1517,1
1518,1
1519,1
1520,7
1521,1
1522,1
1523,7
1524,1
1525,1
1526,1
1527,7
1528,1
1529,1
1530,1
1531,1
1532,1
1533,1
1534,1
1535,7
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,7
1543,1
1544,7
1545,1
1546,1
1547,7
1548,1
1549,1
1550,1
1551,1
1552,1
1553,7
1554,7
1555,1
1556,7
1557,1
1558,7
1559,7
1560,1
1561,7
1562,1
1563,1
1564,1
1565,1
1566,1
1567,1
1568,1
1569,1
1570,7
1571,7
1572,1
1573,1
1574,1
1575,7
1576,7
1577,1
1578,1
1579,1
1580,1
1581,1
1582,1
1583,1
1584,1
1585,1
1586,1
1587,1
1588,7
1589,7
1590,1
1591,1
1592,7
1593,1
1594,7
1595,1
1596,1
1597,1
1598,1
1599,1
1600,1
1601,1
1602,1
1603,1
1604,7
1605,1
1606,1
1607,1
1608,1
1609,1
1610,7
1611,1
1612,1
1613,7
1614,1
1615,1
1616,0
1617,1
1618,7
1619,1
1620,1
1621,1
1622,1
1623,1
1624,1
1625,1
1626,1
1627,1
1628,1
1629,1
1630,1
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,7
1638,7
1639,1
1640,1
1641,1
1642,7
1643,1
1644,1
1645,1
1646,1
1647,1
1648,7
1649,7
1650,1
1651,1
1652,1
1653,7
1654,1
1655,1
1656,1
1657,7
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,7
1665,7
1666,1
1667,1
1668,1
1669,1
1670,1
1671,1
1672,1
1673,1
1674,1
1675,7
1676,7
1677,1
1678,7
1679,1
1680,1
1681,7
1682,1
1683,1
1684,7
1685,1
1686,1
1687,1
1688,1
1689,1
1690,7
1691,1
1692,1
1693,1
1694,1
1695,1
1696,1
1697,1
1698,7
1699,1
1700,7
1701,7
1702,7
1703,7
1704,1
1705,7
1706,1
1707,7
1708,7
1709,1
1710,1
1711,1
1712,1
1713,1
1714,1
1715,7
1716,1
1717,1
1718,1
1719,1
1720,1
1721,1
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,1
1729,1
1730,7
1731,7
1732,7
1733,1
1734,1
1735,7
1736,1
1737,1
1738,1
1739,1
1740,1
1741,7
1742,1
1743,1
1744,1
1745,1
1746,1
1747,1
1748,1
1749,1
1750,1
1751,7
1752,1
1753,1
1754,1
1755,7
1756,1
1757,1
1758,1
1759,7
1760,7
1761,1
1762,7
1763,1
1764,1
1765,1
1766,7
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,1
1777,1
1778,7
1779,7
1780,7
1781,1
1782,7
1783,7
1784,1
1785,1
1786,1
1787,1
1788,7
1789,7
1790,7
1791,1
1792,1
1793,1
1794,1
1795,7
1796,1
1797,1
1798,1
1799,1
1800,1
1801,7
1802,7
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,1
1810,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,1
1820,1
1821,1
1822,7
1823,1
1824,1
1825,1
1826,7
1827,1
1828,1
1829,1
1830,1
1831,1
1832,1
1833,1
1834,7
1835,1
1836,1
1837,1
1838,7
1839,7
1840,1
1841,7
1842,1
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,1
1851,7
1852,7
1853,1
1854,1
1855,7
1856,1
1857,1
1858,7
1859,1
1860,1
1861,1
1862,7
1863,1
1864,7
1865,1
1866,1
1867,1
1868,1
1869,7
1870,1
1871,1
1872,1
1873,7
1874,7
1875,1
1876,7
1877,1
1878,1
1879,1
1880,1
1881,1
1882,7
1883,7
1884,1
1885,1
1886,1
1887,1
1888,7
1889,1
1890,1
1891,7
1892,7
1893,1
1894,1
1895,1
1896,7
1897,1
1898,1
1899,7
1900,1
1901,1
1902,1
1903,1
1904,7
1905,1
1906,1
1907,1
1908,1
1909,1
1910,7
1911,1
1912,1
1913,7
1914,1
1915,1
1916,7
1917,7
1918,1
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,7
1926,1
1927,1
1928,1
1929,7
1930,1
1931,1
1932,7
1933,7
1934,1
1935,1
1936,1
1937,7
1938,7
1939,1
1940,1
1941,1
1942,7
1943,1
1944,1
1945,1
1946,7
1947,7
1948,1
1949,7
1950,1
1951,1
1952,7
1953,7
1954,1
1955,7
1956,1
1957,1
1958,1
1959,1
1960,1
1961,7
1962,1
1963,1
1964,7
1965,1
1966,1
1967,1
1968,7
1969,1
1970,7
1971,1
1972,7
1973,1
1974,1
1975,1
1976,7
1977,1
1978,1
1979,7
1980,7
1981,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,7
1989,7
1990,1
1991,7
1992,7
1993,7
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,1
2002,1
2003,1
2004,7
2005,7
2006,7
2007,7
2008,1
2009,1
2010,7
2011,1
2012,7
2013,7
2014,7
2015,1
2016,1
2017,7
2018,1
2019,7
2020,1
2021,1
2022,1
2023,1
2024,1
2025,1
2026,1
2027,1
2028,1
2029,1
2030,7
2031,1
2032,1
2033,1
2034,1
2035,7
2036,1
2037,1
2038,1
2039,7
2040,1
2041,1
2042,1
2043,7
2044,1
2045,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2052,1
2053,7
2054,7
2055,1
2056,1
2057,7
2058,1
2059,1
2060,1
2061,1
2062,7
2063,1
2064,1
2065,1
2066,1
2067,1
2068,7
2069,1
2070,1
2071,1
2072,1
2073,1
2074,1
2075,1
2076,1
2077,1
2078,1
2079,7
2080,1
2081,1
2082,7
2083,1
2084,1
2085,1
2086,1
2087,1
2088,1
2089,1
2090,7
2091,1
2092,1
2093,1
2094,1
2095,1
2096,1
2097,7
2098,7
2099,7
2100,1
2101,7
2102,7
2103,1
2104,7
2105,1
2106,7
2107,7
2108,7
2109,1
2110,1
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,0
2118,1
2119,7
2120,1
2121,1
2122,7
2123,1
2124,1
2125,7
2126,1
2127,1
2128,1
2129,1
2130,7
2131,7
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2138,7
2139,1
2140,1
2141,7
2142,1
2143,7
2144,1
2145,1
2146,1
2147,1
2148,1
2149,1
2150,7
2151,1
2152,1
2153,1
2154,7
2155,1
2156,1
2157,1
2158,1
2159,1
2160,1
2161,7
2162,1
2163,1
2164,1
2165,1
2166,1
2167,1
2168,1
2169,1
2170,7
2171,1
2172,7
2173,1
2174,1
2175,7
2176,1
2177,1
2178,1
2179,1
2180,1
2181,1
2182,1
2183,1
2184,7
2185,1
2186,1
2187,1
2188,1
2189,1
2190,7
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,7
2200,7
2201,7
2202,1
2203,7
2204,1
2205,1
2206,1
2207,1
2208,7
2209,1
2210,7
2211,7
2212,1
2213,1
2214,1
2215,7
2216,1
2217,1
2218,7
2219,1
2220,7
2221,1
2222,1
2223,1
2224,7
2225,1
2226,1
2227,1
2228,7
2229,7
2230,7
2231,1
2232,1
2233,1
2234,1
2235,1
2236,7
2237,1
2238,1
2239,1
2240,1
2241,7
2242,1
2243,1
2244,1
2245,7
2246,7
2247,7
2248,1
2249,1
2250,7
2251,1
2252,1
2253,1
2254,7
2255,7
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,1
2263,1
2264,7
2265,1
2266,1
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,7
2279,1
2280,1
2281,1
2282,1
2283,7
2284,1
2285,1
2286,1
2287,1
2288,1
2289,7
2290,7
2291,1
2292,7
2293,1
2294,1
2295,7
2296,7
2297,7
2298,7
2299,1
2300,7
2301,1
2302,7
2303,7
2304,7
2305,7
2306,1
2307,7
2308,1
2309,1
2310,1
2311,1
2312,1
2313,7
2314,1
2315,1
2316,1
2317,1
2318,7
2319,1
2320,1
2321,1
2322,1
2323,1
2324,1
2325,1
2326,1
2327,1
2328,7
2329,7
2330,1
2331,7
2332,1
2333,1
2334,1
2335,7
2336,1
2337,1
2338,1
2339,7
2340,7
2341,1
2342,7
2343,7
2344,1
2345,7
2346,1
2347,1
2348,1
2349,7
2350,7
2351,1
2352,1
2353,1
2354,7
2355,1
2356,7
2357,1
2358,1
2359,1
2360,1
2361,1
2362,1
2363,1
2364,7
2365,1
2366,1
2367,2
2368,7
2369,7
2370,1
2371,2
2372,1
2373,1
2374,1
2375,1
2376,2
2377,1
2378,1
2379,1
2380,1
2381,7
2382,1
2383,1
2384,7
2385,1
2386,1
2387,1
2388,1
2389,7
2390,1
2391,1
2392,7
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,7
2400,1
2401,7
2402,1
2403,1
2404,1
2405,1
2406,1
2407,7
2408,1
2409,1
2410,7
2411,1
2412,1
2413,1
2414,1
2415,1
2416,1
2417,7
2418,1
2419,7
2420,1
2421,1
2422,1
2423,1
2424,1
2425,7
2426,1
2427,7
2428,1
2429,1
2430,1
2431,1
2432,1
2433,1
2434,1
2435,1
2436,1
2437,1
2438,7
2439,7
2440,1
2441,1
2442,1
2443,1
2444,7
2445,1
2446,1
2447,1
2448,1
2449,1
2450,7
2451,7
2452,1
2453,7
2454,1
2455,1
2456,1
2457,1
2458,7
2459,1
2460,1
2461,7
2462,1
2463,1
2464,1
2465,7
2466,7
2467,1
2468,7
2469,7
2470,1
2471,1
2472,1
2473,1
2474,7
2475,1
2476,1
2477,7
2478,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,7
2489,1
2490,7
2491,7
2492,1
2493,1
2494,1
2495,1
2496,7
2497,1
2498,7
2499,1
2500,1
2501,1
2502,1
2503,7
2504,1
2505,1
2506,1
2507,7
2508,7
2509,7
2510,1
2511,1
2512,7
2513,1
2514,1
2515,7
2516,1
2517,7
2518,1
2519,1
2520,7
2521,7
2522,1
2523,1
2524,1
2525,1
2526,1
2527,1
2528,1
2529,7
2530,1
2531,1
2532,1
2533,7
2534,1
2535,1
2536,1
2537,7
2538,1
2539,1
2540,7
2541,7
2542,1
2543,7
2544,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,1
2551,7
2552,7
2553,1
2554,1
2555,1
2556,1
2557,1
2558,7
2559,1
2560,1
2561,1
2562,1
2563,7
2564,7
2565,1
2566,1
2567,1
2568,1
2569,7
2570,7
2571,1
2572,1
2573,1
2574,1
2575,1
2576,1
2577,7
2578,1
2579,7
2580,1
2581,1
2582,1
2583,1
2584,7
2585,7
2586,1
2587,1
2588,7
2589,1
2590,1
2591,1
2592,7
2593,1
2594,1
2595,7
2596,1
2597,1
2598,1
2599,1
2600,1
2601,7
2602,1
2603,1
2604,1
2605,1
2606,1
2607,1
2608,1
2609,1
2610,1
2611,1
2612,7
2613,7
2614,1
2615,1
2616,7
2617,1
2618,1
2619,7
2620,1
2621,1
2622,1
2623,7
2624,1
2625,1
2626,1
2627,7
2628,1
2629,1
2630,1
2631,7
2632,1
2633,1
2634,1
2635,7
2636,1
2637,1
2638,1
2639,1
2640,1
2641,1
2642,1
2643,1
2644,1
2645,7
2646,1
2647,1
2648,1
2649,1
2650,1
2651,1
2652,7
2653,1
2654,1
2655,1
2656,7
2657,1
2658,1
2659,7
2660,7
2661,1
2662,1
2663,1
2664,1
2665,7
2666,1
2667,1
2668,1
2669,7
2670,1
2671,1
2672,1
2673,1
2674,1
2675,1
2676,1
2677,7
2678,1
2679,1
2680,1
2681,1
2682,1
2683,1
2684,1
2685,1
2686,1
2687,1
2688,1
2689,1
2690,7
2691,1
2692,1
2693,1
2694,1
2695,1
2696,1
2697,1
2698,1
2699,1
2700,7
2701,1
2702,1
2703,1
2704,7
2705,1
2706,1
2707,1
2708,1
2709,1
2710,1
2711,1
2712,1
2713,7
2714,1
2715,7
2716,1
2717,1
2718,1
2719,1
2720,7
2721,1
2722,7
2723,1
2724,1
2725,1
2726,1
2727,1
2728,7
2729,1
2730,1
2731,1
2732,1
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,1
2740,1
2741,1
2742,1
2743,1
2744,7
2745,1
2746,7
2747,1
2748,1
2749,1
2750,7
2751,1
2752,0
2753,1
2754,1
2755,7
2756,7
2757,7
2758,1
2759,1
2760,1
2761,1
2762,1
2763,7
2764,1
2765,1
2766,1
2767,1
2768,1
2769,1
2770,7
2771,1
2772,7
2773,7
2774,1
2775,1
2776,1
2777,7
2778,7
2779,7
2780,1
2781,7
2782,1
2783,1
2784,7
2785,1
2786,1
2787,7
2788,1
2789,1
2790,1
2791,1
2792,1
2793,1
2794,1
2795,7
2796,1
2797,1
2798,1
2799,1
2800,1
2801,1
2802,1
2803,1
2804,1
2805,1
2806,1
2807,7
2808,7
2809,1
2810,7
2811,1
2812,1
2813,1
2814,1
2815,1
2816,1
2817,1
2818,1
2819,1
2820,1
2821,1
2822,1
2823,7
2824,1
2825,1
2826,1
2827,1
2828,1
2829,1
2830,1
2831,1
2832,7
2833,1
2834,1
2835,7
2836,7
2837,1
2838,7
2839,1
2840,1
2841,1
2842,1
2843,1
2844,1
2845,1
2846,1
2847,1
2848,1
2849,1
2850,1
2851,1
2852,1
2853,1
2854,7
2855,1
2856,1
2857,1
2858,1
2859,7
2860,1
2861,1
2862,7
2863,1
2864,7
2865,1
2866,1
2867,1
2868,1
2869,1
2870,1
2871,7
2872,1
2873,1
2874,1
2875,1
2876,1
2877,1
2878,1
2879,1
2880,7
2881,7
2882,1
2883,7
2884,1
2885,7
2886,1
2887,7
2888,1
2889,1
2890,1
2891,1
2892,1
2893,1
2894,1
2895,1
2896,7
2897,1
2898,1
2899,1
2900,1
2901,1
2902,7
2903,1
2904,1
2905,1
2906,1
2907,1
2908,7
2909,1
2910,7
2911,7
2912,1
2913,1
2914,1
2915,1
2916,1
2917,1
2918,7
2919,1
2920,1
2921,1
2922,7
2923,1
2924,1
2925,1
2926,1
2927,1
2928,1
2929,1
2930,1
2931,1
2932,1
2933,1
2934,7
2935,1
2936,1
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,1
2944,1
2945,7
2946,1
2947,1
2948,1
2949,1
2950,7
2951,1
2952,1
2953,1
2954,1
2955,1
2956,1
2957,1
2958,1
2959,1
2960,1
2961,1
2962,1
2963,7
2964,1
2965,7
2966,1
2967,1
2968,1
2969,1
2970,1
2971,1
2972,1
2973,7
2974,1
2975,1
2976,1
2977,1
2978,1
2979,1
2980,1
2981,1
2982,7
2983,1
2984,1
2985,1
2986,1
2987,7
2988,1
2989,1
2990,7
2991,7
2992,7
2993,7
2994,7
2995,1
2996,7
2997,1
